source	strongs	gloss	esv_da	niv_da	nlt_da	decision	status	scope
δικαιοσύνη	G1343	righteousness	retfærdighed	retfærdighed	retfærdighed	0006	settled	standard
δικαιόω	G1344	justify, declare righteous	retfærdiggøre / give ret	gøre retfærdig / give ret / få ret	erklære retfærdig / vise sig at have ret / give ret	0006	settled	konkordant:esv
δικαιόω (upers.)	G1344	vindicate, prove right	retfærdiggjort / give ret	få ret	vise sig at have ret	0044	settled	standard
δίκαιος	G1342	just, righteous	retfærdig	retfærdig	retfærdig	0007	settled	standard
πίστις	G4102	faith, faithfulness	tro	tro	tro / sætte sin lid til	0010	settled	standard
πιστεύω	G4100	believe	tro	tro	tro	—	settled	standard
χάρις	G5485	grace	nåde	nåde	nåde / fordi han er nådig	—	settled	standard
ἀπολύτρωσις	G629	redemption, release by ransom	forløsning	forløsning	købe fri	—	settled	standard
λύτρωσις	G3085	redemption	forløsning	sætte fri	sætte fri	—	settled	standard
ἱλαστήριον	G2435	propitiation / expiation / mercy seat	sonoffer	sonoffer	det offer, der bærer vores skyld bort	0008	settled	standard
πάρεσις	G3929	passing over, letting go unpunished	bære over med	lade gå ustraffet hen	lade gå ustraffet hen	0009	settled	standard
ἄφεσις	G859	forgiveness, remission	tilgivelse / forladelse	tilgivelse	tilgivelse	0009	settled	standard
ἀνοχή	G463	forbearance, restraint	langmodighed	tålmodighed	holde igen	—	settled	standard
δωρεάν	G1432	freely, as a gift, gratis	uforskyldt	ufortjent	gratis	0011	settled	standard
ἁμαρτάνω	G264	sin	synde	synde	synde	—	settled	standard
ἁμάρτημα	G265	a sin (act)	synd	synd	synd	—	settled	standard
ἁμαρτία	G266	sin	synd	synd	synd	—	settled	standard
ἁμαρτωλός	G268	sinner	synder / syndig	synder / syndig	synder / syndig	0038	settled	konkordant
δόξα	G1391	glory	herlighed	herlighed	herlighed	0136	settled	standard (»ære« kun i doksologisk tiltale, jf. 2,14)
ὑστερέω	G5302	fall short of, lack	komme til kort over for	komme til kort over for	ikke nå op til	—	settled	standard
νόμος	G3551	law; the Law (Torah)	lov / Loven	lov / Loven	lov / Moses' lov	—	settled	standard
διαστολή	G1293	distinction, difference	forskel	forskel	forskel	—	settled	standard
φανερόω	G5319	reveal, manifest	åbenbare	åbenbare	vise	—	settled	standard
μαρτυρέω	G3140	bear witness, attest	bevidne	vidne om	vidne om	0019	settled	standard
προτίθημι	G4388	set forth publicly; purpose beforehand	fremstille	fremstille	stille frem for alles øjne	0019	settled	standard
YHWH	H3068	the divine name	\nd HERREN\nd*	\nd HERREN\nd*	\nd HERREN\nd*	0005	settled	standard
YHWH tseba'oth	H3068+H6635	LORD of hosts	Hærskarers HERRE	Hærskarers HERRE	HERREN, den Almægtige	0018	settled	standard
κύριος	G2962	Lord	Herren	Herren	Herren	0033	settled	standard
