greek	danish	kind	note	decision
Ἰησοῦς	Jesus	person	—	—
Ἰωάννης	Johannes	person	Døberen og apostlen	—
Ζαχαρίας	Zakarias	person	—	—
Ἐλισάβετ	Elisabet	person	—	—
Μαρία / Μαριάμ	Maria	person	—	—
Ἰωσήφ	Josef	person	—	—
Γαβριήλ	Gabriel	person	—	—
Θεόφιλος	Theofilus	person	—	—
Συμεών	Simeon	person	i templet, Luk 2	—
Ἅννα	Anna	person	profeten, Luk 2	—
Φανουήλ	Fanuel	person	—	—
Ἡρῴδης	Herodes	person	—	—
Ἡρῳδιάς	Herodias	person	—	—
Φίλιππος	Filip	person	både landsfyrsten og apostlen	—
Λυσανίας	Lysanias	person	—	—
Τιβέριος	Tiberius	person	—	—
Πόντιος Πιλᾶτος	Pontius Pilatus	person	—	—
Ἅννας	Annas	person	ypperstepræst	—
Καϊάφας	Kajfas	person	—	—
Σίμων Πέτρος	Simon Peter	person	—	—
Ἀνδρέας	Andreas	person	—	—
Ἰάκωβος	Jakob	person	Zebedæus' søn og Alfæus' søn	—
Ζεβεδαῖος	Zebedæus	person	—	—
Ἁλφαῖος	Alfæus	person	—	—
Βαρθολομαῖος	Bartholomæus	person	—	—
Μαθθαῖος	Matthæus	person	—	—
Θωμᾶς	Thomas	person	—	—
Ζηλωτής	Zeloten	person	tilnavn til Simon	—
Ἰούδας Ἰσκαριώθ	Judas Iskariot	person	—	—
Λευί	Levi	person	tolderen, Luk 5	—
Ἠλίας	Elias	person	profeten	0028
Ἐλισαῖος	Elisa	person	dansk GT-form	0028
Ναιμάν	Na'aman	person	dansk GT-form	0028
Ἠσαΐας	Esajas	person	dansk GT-form, ikke »Isaias«	0028
Μωϋσῆς	Moses	person	—	0028
Δαυίδ	David	person	—	0028
Ἀβραάμ	Abraham	person	—	0028
Ἰσαάκ	Isak	person	—	0028
Ἰακώβ	Jakob	person	patriarken	0028
Ἰούδας	Juda	person	stamfaderen	0028
Φαρές	Peres	person	dansk GT-form	0028
Ἑσρώμ	Hesron	person	dansk GT-form	0028
Ἀμιναδάβ	Amminadab	person	dansk GT-form	0028
Ναασσών	Nakshon	person	dansk GT-form	0028
Σαλά	Shela	person	dansk GT-form	0028
Βόος	Boaz	person	dansk GT-form	0028
Ἰωβήλ / Ἰωβήδ	Obed	person	dansk GT-form	0028
Ἰεσσαί	Isaj	person	dansk GT-form	0028
Ναθάμ	Natan	person	dansk GT-form	0028
Ζοροβαβέλ	Zerubbabel	person	dansk GT-form	0028
Σαλαθιήλ	Shealtiel	person	dansk GT-form	0028
Θάρα	Tera	person	dansk GT-form	0028
Ναχώρ	Nakor	person	dansk GT-form	0028
Σερούχ	Serug	person	dansk GT-form	0028
Ῥαγαύ	Re'u	person	dansk GT-form	0028
Φάλεκ	Peleg	person	dansk GT-form	0028
Ἔβερ	Eber	person	dansk GT-form	0028
Καϊνάμ	Kenan	person	dansk GT-form	0028
Ἀρφαξάδ	Arpakshad	person	dansk GT-form	0028
Σήμ	Sem	person	dansk GT-form	0028
Νῶε	Noa	person	dansk GT-form	0028
Λάμεχ	Lemek	person	dansk GT-form	0028
Μαθουσαλά	Metusalem	person	dansk GT-form	0028
Ἑνώχ	Enok	person	dansk GT-form	0028
Ἰάρετ	Jered	person	dansk GT-form	0028
Μαλελεήλ	Mahalalel	person	dansk GT-form	0028
Ἐνώς	Enosh	person	dansk GT-form	0028
Σήθ	Set	person	dansk GT-form	0028
Ἀδάμ	Adam	person	dansk GT-form	0028
Ἀαρών	Aron	person	dansk GT-form	0028
Ἀβιά	Abia	person	præsteskiftet	0028
Ἠλί	Eli	person	kun i Luk 3	0028
Μαθθάτ	Mattat	person	kun i Luk 3	0028
Μελχί	Melki	person	kun i Luk 3	0028
Ἰανναί	Jannaj	person	kun i Luk 3	0028
Ματταθίας	Mattatias	person	kun i Luk 3	0028
Ἀμώς	Amos	person	i slægtstavlen	0028
Ναούμ	Nahum	person	i slægtstavlen	0028
Ἑσλί	Esli	person	kun i Luk 3	0028
Ναγγαί	Naggaj	person	kun i Luk 3	0028
Μάαθ	Maat	person	kun i Luk 3	0028
Σεμεΐν	Semein	person	kun i Luk 3	0028
Ἰωσήχ	Josek	person	kun i Luk 3	0028
Ἰωδά	Joda	person	kun i Luk 3	0028
Ἰωανάν	Joanan	person	kun i Luk 3	0028
Ῥησά	Resa	person	kun i Luk 3	0028
Νηρί	Neri	person	kun i Luk 3	0028
Ἀδδί	Addi	person	kun i Luk 3	0028
Κωσάμ	Kosam	person	kun i Luk 3	0028
Ἐλμαδάμ	Elmadam	person	kun i Luk 3	0028
Ἤρ	Er	person	kun i Luk 3	0028
Ἰησοῦ (i slægtstavlen)	Josva	person	dansk GT-form	0028
Ἐλιέζερ	Eliezer	person	kun i Luk 3	0028
Ἰωρίμ	Jorim	person	kun i Luk 3	0028
Ἰωνάμ	Jonam	person	kun i Luk 3	0028
Ἐλιακίμ	Eljakim	person	kun i Luk 3	0028
Μελεά	Melea	person	kun i Luk 3	0028
Μεννά	Menna	person	kun i Luk 3	0028
Ματταθά	Mattata	person	kun i Luk 3	0028
Ἀδμίν	Admin	person	kun i Luk 3	0028
Ἀρνί	Arni	person	kun i Luk 3	0028
Ἰερουσαλήμ / Ἱεροσόλυμα	Jerusalem	place	—	—
Ἰουδαία	Judæa	place	—	—
Γαλιλαία	Galilæa	place	—	—
Ναζαρέθ / Ναζαρά	Nazaret	place	—	—
Βηθλέεμ	Betlehem	place	—	—
Καφαρναούμ	Kapernaum	place	—	—
Ναΐν	Nain	place	—	—
Γεννησαρέτ	Gennesaret	place	søen	—
Ἰορδάνης	Jordan	place	floden	—
Συρία	Syrien	place	—	—
Τύρος	Tyrus	place	—	—
Σιδών	Sidon	place	—	—
Σάρεπτα	Sarepta	place	—	0028
Ἰτουραία	Ituræa	place	—	—
Τραχωνῖτις	Trakonitis	place	—	—
Ἀβιληνή	Abilene	place	—	—
Ἰσραήλ	Israel	place	folk og land	—
Κυρήνιος	Kvirinius	person	statholder i Syrien	—
Καῖσαρ Αὔγουστος	Kejser Augustus	person	—	—
Μαρία ἡ Μαγδαληνή	Maria Magdalene	person	—	—
Ἰωάννα	Johanna	person	—	—
Χουζᾶς	Kuza	person	Herodes' foged	—
Σουσάννα	Susanna	person	—	—
Ἰάϊρος	Jairus	person	synagogeforstander	—
Γερασηνοί	gerasenerne	place	egnen øst for søen	0048
Βηθσαϊδά	Betsajda	place	—	—
Σαμαρίτης	samaritaner	person	folkegruppe	—
Σαμάρεια	Samaria	place	—	—
Χοραζίν	Korazin	place	—	—
Ἰεριχώ	Jeriko	place	—	0028
Σόδομα	Sodoma	place	dansk GT-form	0028
Μάρθα	Martha	person	—	—
